year,n_runs,total_population_median,total_population_ci_low,total_population_ci_high,total_population_q25,total_population_q75,total_affected_median,total_affected_ci_low,total_affected_ci_high,total_affected_q25,total_affected_q75,prevalence_total_pct_median,prevalence_total_pct_ci_low,prevalence_total_pct_ci_high,prevalence_total_pct_q25,prevalence_total_pct_q75,on_colchicine_median,on_colchicine_ci_low,on_colchicine_ci_high,on_colchicine_q25,on_colchicine_q75,diagnosed_median,diagnosed_ci_low,diagnosed_ci_high,diagnosed_q25,diagnosed_q75,undiagnosed_symptomatic_median,undiagnosed_symptomatic_ci_low,undiagnosed_symptomatic_ci_high,undiagnosed_symptomatic_q25,undiagnosed_symptomatic_q75,prevented_births_total_median,prevented_births_total_ci_low,prevented_births_total_ci_high,prevented_births_total_q25,prevented_births_total_q75,m694v_homo_in_affected_pct_median,m694v_homo_in_affected_pct_ci_low,m694v_homo_in_affected_pct_ci_high,m694v_homo_in_affected_pct_q25,m694v_homo_in_affected_pct_q75,compound_in_affected_pct_median,compound_in_affected_pct_ci_low,compound_in_affected_pct_ci_high,compound_in_affected_pct_q25,compound_in_affected_pct_q75,hetero_in_affected_pct_median,hetero_in_affected_pct_ci_low,hetero_in_affected_pct_ci_high,hetero_in_affected_pct_q25,hetero_in_affected_pct_q75,other_homo_in_affected_pct_median,other_homo_in_affected_pct_ci_low,other_homo_in_affected_pct_ci_high,other_homo_in_affected_pct_q25,other_homo_in_affected_pct_q75,m694v_homo_absolute_median,m694v_homo_absolute_ci_low,m694v_homo_absolute_ci_high,m694v_homo_absolute_q25,m694v_homo_absolute_q75,m694v_homo_prevalence_pct_median,m694v_homo_prevalence_pct_ci_low,m694v_homo_prevalence_pct_ci_high,m694v_homo_prevalence_pct_q25,m694v_homo_prevalence_pct_q75,total_carriers_absolute_median,total_carriers_absolute_ci_low,total_carriers_absolute_ci_high,total_carriers_absolute_q25,total_carriers_absolute_q75
2076,5,27573.0,26736.8,27759.1,27131.0,27688.0,72.0,55.1,83.8,56.0,73.0,0.4541154210028382,0.3424737401964018,0.5346231885298812,0.3503941934676511,0.4636686991869919,72.0,55.1,83.8,56.0,73.0,72.0,55.1,83.8,56.0,73.0,0.0,0.0,0.0,0.0,0.0,21.0,15.5,24.7,20.0,22.0,9.090909090909092,5.714285714285714,15.271555197421435,7.142857142857142,15.068493150684931,54.11764705882353,50.205479452054796,65.02020202020202,52.054794520547944,61.111111111111114,32.87671232876712,25.497326203208555,40.297619047619044,25.882352941176475,33.33333333333333,0.0,0.0,4.413865546218487,0.0,1.7857142857142856,5.0,4.0,12.8,4.0,11.0,0.031053971802993605,0.02504820445865048,0.08166128440547872,0.02522863450015768,0.06986788617886179,23.0,14.8,24.0,22.0,24.0
2077,5,27227.0,26473.7,27438.3,26804.0,27396.0,70.0,56.0,80.5,56.0,76.0,0.4459450850480984,0.3516536106262874,0.5186370804639996,0.3532900132483755,0.4889031843036346,70.0,56.0,80.5,56.0,76.0,70.0,56.0,80.5,56.0,76.0,0.0,0.0,0.0,0.0,0.0,21.0,15.6,24.7,21.0,22.0,8.928571428571429,7.142857142857142,15.891812865497077,7.142857142857142,14.473684210526317,54.32098765432099,50.26315789473684,65.46428571428571,52.63157894736842,60.0,32.857142857142854,25.09259259259259,40.253759398496236,25.925925925925924,32.89473684210527,0.0,0.0,3.5119047619047614,0.0,1.7857142857142856,5.0,4.1,12.8,5.0,11.0,0.03185322036057845,0.025849641816973443,0.08246768593415958,0.03138140965292161,0.07076230299131554,23.0,14.7,24.8,21.0,23.0
2078,5,26922.0,26136.2,27101.1,26534.0,27075.0,69.0,55.2,78.6,57.0,75.0,0.4437584410573027,0.3503956131230077,0.51179521868479,0.36229581135193545,0.4866337918505061,69.0,55.2,78.6,57.0,75.0,69.0,55.2,78.6,57.0,75.0,0.0,0.0,0.0,0.0,0.0,22.0,16.5,24.7,21.0,22.0,9.090909090909092,7.040427154843631,16.276793248945147,7.246376811594203,14.666666666666666,54.666666666666664,49.653564290473014,64.56126482213439,54.43037974683544,56.52173913043478,30.666666666666664,25.330264672036822,41.51792524790236,25.454545454545453,36.231884057971016,0.0,0.0,3.59316011547857,0.0,1.7543859649122806,5.0,4.1,12.8,5.0,11.0,0.03215640877226831,0.026055234979467514,0.083348864139081,0.031733942625031736,0.07137295613807423,23.0,14.6,24.9,20.0,24.0
2079,5,26617.0,25881.7,26799.0,26248.0,26781.0,71.0,53.7,80.4,60.0,75.0,0.4615784683396178,0.3439769795228682,0.5286490622665402,0.3854059609455293,0.49138439363165826,71.0,52.7,80.4,59.0,75.0,71.0,52.7,80.4,59.0,75.0,0.0,0.0,1.0,0.0,1.0,22.0,16.5,24.7,21.0,22.0,10.0,7.2814243954291795,17.022222222222222,9.433962264150944,14.666666666666666,54.666666666666664,47.432098765432094,63.22880680308264,54.32098765432099,54.929577464788736,30.666666666666664,24.863731656184484,41.302816901408455,26.41509433962264,38.028169014084504,0.0,0.0,3.4999999999999996,0.0,1.6666666666666667,6.0,5.0,13.7,5.0,11.0,0.038540596094552924,0.032065305747555624,0.09008535037384754,0.0325055259394097,0.07206971106597655,23.0,14.6,26.8,20.0,25.0
2080,5,26350.0,25612.1,26533.9,25964.0,26533.0,72.0,54.8,79.5,62.0,75.0,0.47225501770956313,0.35542831115298096,0.5287140798871163,0.401918838324906,0.49672163719451623,72.0,54.7,79.5,61.0,75.0,72.0,54.7,79.5,61.0,75.0,0.0,0.0,0.8999999999999999,0.0,0.0,22.0,16.5,24.7,21.0,22.0,9.67741935483871,6.9907407407407405,17.083333333333332,7.4074074074074066,13.333333333333334,55.00000000000001,46.06182795698924,63.93333333333333,54.166666666666664,56.00000000000001,30.666666666666664,24.15277777777778,43.08243727598566,27.77777777777778,38.88888888888889,0.0,0.0,3.536290322580645,0.0,1.6129032258064515,6.0,4.1,13.6,5.0,10.0,0.038895371450797356,0.02663039520227866,0.09045529049193488,0.03279548734094189,0.0662295516259355,23.0,15.4,27.9,19.0,27.0
2081,5,26068.0,25399.0,26240.8,25705.0,26239.0,71.0,54.4,78.6,58.0,75.0,0.4707286348869588,0.35632207484247946,0.5272203641768859,0.3792584842738508,0.5016722408026756,71.0,54.4,78.6,58.0,75.0,71.0,54.4,78.6,58.0,75.0,0.0,0.0,0.0,0.0,0.0,22.0,16.5,24.7,21.0,22.0,10.344827586206897,7.078768909754825,17.149367088607594,7.4074074074074066,12.0,54.43037974683544,45.69694026226324,63.93333333333333,53.52112676056338,56.00000000000001,32.0,24.42334739803094,42.73676542010684,27.77777777777778,39.436619718309856,0.0,0.0,3.59013531209079,0.0,1.7241379310344827,6.0,4.1,13.5,5.0,9.0,0.03923363630419146,0.02689989604690524,0.09056112969156448,0.033149903865278794,0.06020066889632107,24.0,15.4,27.7,19.0,25.0
2082,5,25818.0,25190.1,25933.8,25461.0,25923.0,67.0,54.4,76.7,58.0,74.0,0.44825048504716664,0.3600178934080456,0.5179982064585503,0.38397881496193315,0.4981823077958799,67.0,54.4,76.7,58.0,74.0,67.0,54.4,76.7,58.0,74.0,0.0,0.0,0.0,0.0,0.0,22.0,16.5,24.7,21.0,22.0,10.344827586206897,6.113875069098949,16.411021411021412,7.4074074074074066,12.162162162162163,55.4054054054054,45.71796191456511,63.91774891774891,53.73134328358209,55.84415584415584,32.432432432432435,23.816738816738816,42.822954194544515,27.77777777777778,40.298507462686565,0.0,0.0,3.6789072995969545,0.0,1.7241379310344827,6.0,4.0,12.6,4.0,9.0,0.039721946375372394,0.02649982688485219,0.08510234653096108,0.02676122298789055,0.06058974013733675,24.0,15.3,26.8,18.0,25.0
2083,5,25559.0,24975.7,25668.3,25216.0,25617.0,67.0,53.3,78.3,56.0,72.0,0.45245813074014046,0.3574374853059288,0.5331562429681587,0.37410648673926117,0.48889794255449176,67.0,53.3,78.3,56.0,72.0,67.0,53.3,78.3,56.0,72.0,0.0,0.0,0.0,0.0,0.0,22.0,17.4,24.7,21.0,22.0,9.433962264150944,6.265991471215352,14.920886075949367,8.928571428571429,12.5,54.43037974683544,46.12785130949029,60.198412698412696,53.73134328358209,55.55555555555556,31.944444444444443,26.959764918625673,44.784567727400734,30.357142857142854,40.298507462686565,0.0,0.0,3.4177215189873418,0.0,0.0,5.0,4.1,11.7,5.0,9.0,0.03354579000335458,0.027651419632989754,0.079670684845887,0.03340236488743403,0.06111224281931147,23.0,17.4,26.7,21.0,24.0
2084,5,25301.0,24737.9,25398.5,24962.0,25376.0,64.0,51.5,77.5,56.0,73.0,0.4358188627851549,0.34869220002329626,0.5324902435506657,0.3784295175023652,0.5008232711306256,64.0,51.5,77.5,56.0,73.0,64.0,51.5,77.5,56.0,73.0,0.0,0.0,0.0,0.0,0.0,22.0,17.4,24.7,21.0,22.0,9.803921568627452,5.111607142857143,15.079030558482613,8.928571428571429,12.32876712328767,54.794520547945204,42.44343891402715,60.26785714285714,53.84615384615385,56.25,32.87671232876712,27.266483516483518,48.02389705882352,30.357142857142854,39.0625,0.0,0.0,3.4615384615384612,0.0,0.0,5.0,3.2,11.7,5.0,9.0,0.03386157388595422,0.021764943251448413,0.08039113600855466,0.03378834977699689,0.061745334796926454,24.0,17.4,25.0,21.0,25.0
2085,5,25025.0,24475.3,25167.7,24748.0,25147.0,62.0,47.3,77.6,59.0,74.0,0.42635125842387567,0.32413314129130605,0.5383850748146348,0.40182524007355447,0.5125718639606566,62.0,47.3,77.6,59.0,74.0,62.0,47.3,77.6,59.0,74.0,0.0,0.0,0.0,0.0,0.0,22.0,17.4,24.7,21.0,22.0,8.695652173913043,3.7506834335702566,16.216216216216214,8.47457627118644,12.162162162162163,53.84615384615385,40.487661574618095,57.5095680699836,52.702702702702695,56.451612903225815,35.13513513513514,26.46675358539765,50.98877980364656,33.89830508474576,40.32258064516129,0.0,0.0,3.4615384615384612,0.0,0.0,5.0,2.2,12.6,4.0,9.0,0.03405298644691139,0.01512142398565887,0.08742196353234608,0.027434842249657067,0.06233982129251229,24.0,20.0,25.9,20.0,25.0
2086,5,24801.0,24263.5,24921.1,24538.0,24877.0,60.0,46.5,75.0,60.0,75.0,0.4168982768204558,0.3218012722932126,0.5263198369801966,0.4131093362709997,0.5250262513125656,60.0,46.5,75.0,60.0,75.0,60.0,46.5,75.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,22.0,18.3,24.7,21.0,22.0,10.0,2.3888888888888893,15.6,8.88888888888889,12.0,54.666666666666664,39.333333333333336,58.16666666666667,53.333333333333336,56.666666666666664,33.33333333333333,27.333333333333336,52.0,33.33333333333333,40.0,0.0,0.0,3.5999999999999996,0.0,0.0,6.0,1.3,11.7,4.0,9.0,0.04131093362709997,0.009023749102095604,0.0821110689115812,0.027702749497887664,0.06300315015750788,24.0,20.0,24.9,20.0,24.0
2087,5,24601.0,24051.1,24681.2,24376.0,24665.0,60.0,45.4,73.8,58.0,72.0,0.42134831460674155,0.31787198850516696,0.5210434890875786,0.40502793296089384,0.5116907113922251,60.0,45.4,73.8,58.0,72.0,60.0,45.4,73.8,58.0,72.0,0.0,0.0,0.0,0.0,0.0,22.0,18.4,24.8,22.0,23.0,10.344827586206897,2.409090909090909,16.216216216216214,9.090909090909092,12.162162162162163,52.702702702702695,39.91161616161616,56.51724137931034,51.388888888888886,55.172413793103445,35.13513513513514,28.27586206896552,51.04545454545455,32.758620689655174,40.0,1.6666666666666667,0.0,3.9224137931034475,0.0,1.7241379310344827,6.0,1.3,11.7,4.0,9.0,0.04189944134078212,0.00912193376161706,0.08310326100543318,0.028017090425159347,0.06349654296599407,23.0,19.1,25.8,20.0,24.0
2088,5,24384.0,23828.2,24496.8,24154.0,24459.0,59.0,45.3,73.8,57.0,72.0,0.41808390022675734,0.319773677920615,0.527546407231815,0.40152155536770917,0.5183212151752934,59.0,45.3,72.9,57.0,72.0,59.0,45.3,72.9,57.0,72.0,0.0,0.0,0.8999999999999999,0.0,0.0,22.0,18.4,24.8,22.0,23.0,9.45945945945946,2.4345146379044684,17.302631578947366,9.090909090909092,10.526315789473683,52.702702702702695,39.772727272727266,58.82842699970264,50.0,54.385964912280706,37.28813559322034,28.333333333333332,50.82923832923833,33.33333333333333,37.83783783783784,1.694915254237288,0.0,3.9254385964912273,0.0,1.7543859649122806,6.0,1.3,12.399999999999999,4.0,7.0,0.042265426880811495,0.009202010842467195,0.08922719746598516,0.028244598220590313,0.05,22.0,19.1,27.5,20.0,23.0
2089,5,24152.0,23600.5,24274.5,23911.0,24216.0,57.0,46.0,73.7,55.0,71.0,0.4056939501779359,0.3290460545796694,0.5333648395183288,0.3942934977417736,0.5162885398487493,57.0,46.0,73.7,55.0,71.0,57.0,46.0,73.7,55.0,71.0,0.0,0.0,0.0,0.0,0.0,22.0,19.3,24.8,22.0,23.0,9.45945945945946,2.525252525252525,17.53150481838399,8.88888888888889,10.526315789473683,52.63157894736842,40.647887323943664,55.99754299754299,46.478873239436616,52.702702702702695,37.83783783783784,31.39609587348653,49.99999999999999,35.08771929824561,40.0,1.7543859649122806,0.0,3.984635083226632,0.0,1.8181818181818181,6.0,1.3,12.399999999999999,4.0,7.0,0.042704626334519574,0.009312487316906159,0.09014182517065411,0.028604118993135013,0.05063291139240507,22.0,20.2,27.5,22.0,23.0
2090,5,23938.0,23400.0,24031.0,23652.0,23977.0,55.0,46.4,71.6,50.0,68.0,0.3963963963963964,0.33566247932964766,0.5249270073595218,0.36226633821185333,0.5006257822277848,55.0,46.4,71.6,50.0,68.0,55.0,46.4,71.6,50.0,68.0,0.0,0.0,0.0,0.0,0.0,23.0,20.2,24.8,22.0,23.0,9.722222222222223,2.6695652173913045,17.155080213903744,8.695652173913043,12.727272727272727,50.90909090909091,40.070332480818415,57.61666666666666,48.529411764705884,54.166666666666664,36.11111111111111,29.925133689839573,50.756521739130434,34.54545454545455,38.0,1.8181818181818181,0.0,4.170588235294118,0.0,2.0,7.0,1.3,11.5,4.0,7.0,0.05045045045045045,0.009413894044416862,0.08464086198738241,0.02893099956603501,0.05129708339440129,20.0,19.0,25.8,19.0,24.0
2091,5,23698.0,23159.1,23804.8,23403.0,23731.0,54.0,47.4,71.3,51.0,65.0,0.39424691538293055,0.3467334927976178,0.52885910584265,0.3738728832197053,0.484676757885318,54.0,47.4,71.3,51.0,65.0,54.0,47.4,71.3,51.0,65.0,0.0,0.0,0.0,0.0,0.0,23.0,21.1,24.8,22.0,23.0,9.722222222222223,2.615769712140175,17.911680911680914,8.51063829787234,12.962962962962962,48.148148148148145,39.23731587561375,56.45424836601307,47.69230769230769,52.77777777777778,37.5,31.396011396011396,51.79390905298289,37.03703703703704,39.21568627450981,1.8518518518518516,0.0,2.9653092006033184,0.0,1.9607843137254901,7.0,1.3,11.5,4.0,7.0,0.05110608162371322,0.009523016379491671,0.08572032106028568,0.0292525961679099,0.05189413596263622,20.0,20.0,26.8,20.0,25.0
2092,5,23457.0,22955.6,23535.3,23195.0,23457.0,54.0,45.6,69.6,51.0,66.0,0.3996151853770443,0.3378082422182309,0.5228423711636188,0.3776379118844872,0.4983388704318937,54.0,45.6,69.6,51.0,66.0,54.0,45.6,69.6,51.0,66.0,0.0,0.0,0.0,0.0,0.0,23.0,21.1,26.6,22.0,23.0,11.11111111111111,2.6218487394957983,17.65993265993266,8.571428571428571,12.962962962962962,50.0,38.696969696969695,58.51260504201681,46.96969696969697,55.714285714285715,35.714285714285715,32.15488215488215,49.725490196078425,35.18518518518518,37.254901960784316,1.8518518518518516,0.0,2.9233511586452763,0.0,1.9607843137254901,6.0,1.4,11.5,5.0,7.0,0.04504842705908852,0.010368450926869527,0.08672655746360826,0.03704252481849163,0.05180196847480204,21.0,19.0,24.8,19.0,23.0
2093,5,23221.0,22713.8,23285.8,22964.0,23230.0,54.0,44.7,70.6,51.0,67.0,0.40470658772390017,0.3350106775236778,0.5364192168960847,0.3824808759562022,0.5126243305279266,54.0,44.7,70.6,51.0,67.0,54.0,44.7,70.6,51.0,67.0,0.0,0.0,0.0,0.0,0.0,23.0,21.1,26.6,22.0,23.0,11.363636363636363,2.511737089201878,17.491952004682467,8.450704225352112,13.725490196078432,50.98039215686274,37.50339213025781,60.49295774647888,47.76119402985074,54.929577464788736,35.18518518518518,31.542288557213933,50.70742637644046,33.33333333333333,36.61971830985916,1.8518518518518516,0.0,2.882645595551653,0.0,1.9607843137254901,6.0,1.4,11.5,5.0,7.0,0.045554627590919446,0.01049211219347987,0.08788171915046177,0.03747002398081535,0.05249737513124343,21.0,17.2,25.7,19.0,23.0
