Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1989;79417.7 ± 143.7;60478.7 ± 132.5;313.7 ± 7.4;34.9 ± 2.7;180.3 ± 5.9;79.4 ± 3.9;5.7 ± 0.7;286737 ± 63293;14234 ± 3123;1566759 ± 345624
1990;80124.6 ± 152.3;60854.0 ± 142.3;313.1 ± 7.6;35.5 ± 2.7;181.3 ± 5.8;79.6 ± 4.0;5.9 ± 0.7;287665 ± 63185;14279 ± 3118;1571796 ± 345041
1991;80746.2 ± 158.1;61181.9 ± 144.7;313.0 ± 7.2;35.6 ± 2.7;182.7 ± 5.7;80.3 ± 3.6;6.0 ± 0.8;288593 ± 63085;14324 ± 3113;1576863 ± 344505
1992;81253.9 ± 161.0;61415.0 ± 154.0;312.6 ± 7.0;35.9 ± 2.6;183.4 ± 5.5;80.8 ± 3.6;6.0 ± 0.8;289447 ± 63010;14368 ± 3109;1581523 ± 344111
1993;81660.9 ± 164.4;61542.7 ± 159.2;313.4 ± 7.2;36.3 ± 2.7;184.8 ± 5.7;81.5 ± 3.8;6.2 ± 0.8;290342 ± 62908;14411 ± 3103;1586418 ± 343556
1994;81961.3 ± 163.0;61577.2 ± 160.6;315.6 ± 7.3;37.1 ± 2.7;186.3 ± 5.7;82.3 ± 3.7;6.3 ± 0.8;291195 ± 62813;14452 ± 3099;1591102 ± 343054
1995;82248.2 ± 168.0;61428.0 ± 162.8;313.5 ± 7.4;37.1 ± 2.7;185.3 ± 5.7;82.6 ± 3.7;6.2 ± 0.8;292067 ± 62713;14495 ± 3095;1595852 ± 342519
1996;82485.2 ± 170.3;61262.8 ± 168.9;312.4 ± 7.4;36.7 ± 2.7;185.4 ± 5.5;82.9 ± 3.8;6.1 ± 0.7;292879 ± 62626;14537 ± 3090;1600321 ± 342057
1997;82628.2 ± 173.5;61026.3 ± 168.4;310.9 ± 7.8;36.0 ± 2.6;185.4 ± 5.7;82.9 ± 3.8;6.1 ± 0.7;293654 ± 62540;14574 ± 3085;1604501 ± 341585
1998;82715.6 ± 173.4;60735.3 ± 170.2;310.5 ± 8.0;35.5 ± 2.7;186.0 ± 5.9;82.8 ± 3.7;6.2 ± 0.8;294444 ± 62451;14613 ± 3081;1608765 ± 341111
1999;82638.4 ± 178.9;60311.8 ± 172.4;311.1 ± 8.1;35.7 ± 2.7;186.0 ± 5.8;83.1 ± 3.8;6.2 ± 0.8;295252 ± 62366;14652 ± 3077;1613159 ± 340660
2000;82502.9 ± 182.2;59804.5 ± 169.4;310.2 ± 7.7;35.7 ± 2.8;185.3 ± 5.7;83.1 ± 3.6;6.2 ± 0.7;295943 ± 62290;14686 ± 3074;1616964 ± 340254
2001;82323.4 ± 184.9;59322.5 ± 174.0;310.1 ± 7.7;35.8 ± 2.8;185.3 ± 5.6;82.8 ± 3.6;6.2 ± 0.8;296692 ± 62213;14723 ± 3069;1621035 ± 339838
2002;82101.6 ± 185.8;58670.7 ± 173.5;309.2 ± 7.8;35.6 ± 2.8;184.6 ± 5.8;82.8 ± 3.5;6.3 ± 0.7;297448 ± 62138;14760 ± 3066;1625132 ± 339459
2003;81913.1 ± 184.8;58076.6 ± 167.1;308.5 ± 8.2;35.8 ± 2.7;183.5 ± 5.9;83.0 ± 3.8;6.3 ± 0.7;298180 ± 62050;14796 ± 3062;1629139 ± 338994
2004;81778.9 ± 187.9;57515.7 ± 170.4;306.3 ± 8.6;35.6 ± 2.9;182.5 ± 6.3;81.9 ± 3.5;6.3 ± 0.7;298889 ± 61981;14830 ± 3059;1632980 ± 338639
2005;81567.1 ± 189.4;56888.6 ± 167.1;303.6 ± 8.8;35.3 ± 2.8;180.8 ± 6.2;81.2 ± 3.4;6.3 ± 0.7;299604 ± 61902;14865 ± 3055;1636846 ± 338234
2006;81288.3 ± 190.4;56247.7 ± 163.8;302.2 ± 9.0;35.0 ± 2.8;180.3 ± 6.4;80.7 ± 3.4;6.2 ± 0.6;300319 ± 61828;14899 ± 3052;1640787 ± 337827
2007;81078.4 ± 189.6;55652.0 ± 163.1;300.6 ± 8.7;35.0 ± 2.5;179.3 ± 6.2;80.2 ± 3.7;6.1 ± 0.6;301046 ± 61738;14934 ± 3047;1644753 ± 337351
2008;80855.4 ± 193.0;55064.2 ± 167.0;298.9 ± 8.6;34.7 ± 2.5;178.0 ± 6.3;80.3 ± 3.5;6.0 ± 0.6;301738 ± 61654;14968 ± 3044;1648557 ± 336918
2009;80691.4 ± 192.1;54567.3 ± 161.9;294.8 ± 8.3;34.2 ± 2.4;175.5 ± 6.1;79.3 ± 3.4;5.8 ± 0.6;302496 ± 61556;15007 ± 3039;1652729 ± 336367
2010;80508.1 ± 192.6;54045.9 ± 159.6;292.1 ± 8.1;34.0 ± 2.3;174.1 ± 5.8;78.2 ± 3.3;5.8 ± 0.6;303208 ± 61485;15043 ± 3034;1656624 ± 335977
2011;80309.4 ± 193.7;53558.0 ± 157.8;289.1 ± 8.0;33.5 ± 2.2;171.8 ± 5.9;77.9 ± 3.2;5.8 ± 0.6;303960 ± 61399;15082 ± 3029;1660746 ± 335486
2012;80183.8 ± 200.0;53158.5 ± 157.9;286.1 ± 8.1;33.1 ± 2.1;169.9 ± 6.2;77.4 ± 3.0;5.7 ± 0.6;304706 ± 61307;15119 ± 3025;1664843 ± 334992
2013;80058.3 ± 197.2;52787.4 ± 160.0;283.1 ± 7.5;32.3 ± 1.9;168.6 ± 5.8;76.7 ± 3.2;5.5 ± 0.6;305453 ± 61198;15157 ± 3020;1668997 ± 334415
2014;79967.6 ± 197.6;52498.4 ± 156.6;280.0 ± 7.8;32.0 ± 1.9;166.3 ± 6.1;76.1 ± 3.1;5.5 ± 0.7;306153 ± 61123;15194 ± 3016;1672901 ± 334000
2015;79798.2 ± 201.7;52137.5 ± 159.3;276.5 ± 7.9;31.7 ± 2.0;164.2 ± 6.0;75.2 ± 3.1;5.4 ± 0.7;306869 ± 61049;15228 ± 3013;1676843 ± 333569
2016;79608.6 ± 209.9;51799.7 ± 162.4;273.1 ± 8.2;31.7 ± 2.0;162.3 ± 5.9;73.6 ± 3.1;5.5 ± 0.8;307548 ± 60975;15263 ± 3009;1680532 ± 333163
2017;79432.2 ± 212.2;51443.2 ± 169.5;270.8 ± 8.1;31.5 ± 1.9;160.9 ± 6.0;73.0 ± 3.1;5.4 ± 0.8;308206 ± 60895;15293 ± 3006;1684106 ± 332737
2018;79261.8 ± 213.1;51080.5 ± 166.8;267.8 ± 8.0;31.1 ± 1.9;159.4 ± 5.9;72.0 ± 3.0;5.3 ± 0.8;308872 ± 60821;15326 ± 3002;1687798 ± 332340
2019;79055.7 ± 213.3;50691.3 ± 172.1;264.5 ± 7.8;30.6 ± 2.0;157.4 ± 5.6;71.2 ± 3.1;5.2 ± 0.7;309556 ± 60727;15357 ± 2998;1691587 ± 331821
2020;78559.8 ± 217.2;50286.0 ± 176.0;261.1 ± 7.8;30.4 ± 1.9;155.3 ± 5.3;70.1 ± 3.4;5.3 ± 0.8;310241 ± 60649;15392 ± 2994;1695366 ± 331417
2021;78058.6 ± 218.9;49848.9 ± 175.1;259.3 ± 7.6;30.6 ± 2.0;154.0 ± 5.3;69.6 ± 3.4;5.1 ± 0.8;310883 ± 60573;15423 ± 2991;1698903 ± 331002
2022;77771.4 ± 223.2;49437.6 ± 177.1;257.8 ± 6.9;30.4 ± 2.0;153.4 ± 4.9;69.0 ± 3.4;5.0 ± 0.8;311526 ± 60505;15455 ± 2988;1702456 ± 330635
2023;77623.9 ± 230.9;49115.5 ± 177.8;255.6 ± 7.1;30.2 ± 2.0;152.4 ± 4.7;68.1 ± 3.4;4.8 ± 0.7;312191 ± 60423;15487 ± 2984;1706141 ± 330202
2024;77225.5 ± 233.8;48669.7 ± 180.9;253.3 ± 7.2;29.3 ± 2.0;151.3 ± 4.8;67.8 ± 3.2;4.9 ± 0.8;312811 ± 60354;15519 ± 2980;1709510 ± 329835
2025;76789.0 ± 239.0;48187.3 ± 183.5;250.7 ± 7.3;29.0 ± 2.1;149.6 ± 4.9;67.3 ± 3.2;4.8 ± 0.7;313429 ± 60289;15549 ± 2977;1712913 ± 329471
2026;76310.8 ± 236.7;47708.2 ± 179.4;248.8 ± 7.2;28.7 ± 1.9;148.3 ± 4.8;67.1 ± 3.1;4.7 ± 0.7;314036 ± 60232;15580 ± 2974;1716206 ± 329157
2027;75806.5 ± 239.5;47199.5 ± 181.2;247.2 ± 7.1;28.5 ± 2.0;147.5 ± 4.9;66.6 ± 3.0;4.6 ± 0.7;314634 ± 60166;15608 ± 2971;1719441 ± 328806
2028;75272.1 ± 243.4;46680.7 ± 177.6;245.9 ± 6.6;28.5 ± 1.9;146.3 ± 4.7;66.5 ± 3.0;4.7 ± 0.8;315279 ± 60106;15640 ± 2968;1722994 ± 328484
2029;74721.0 ± 241.7;46150.4 ± 179.0;242.5 ± 6.5;27.9 ± 1.9;144.1 ± 4.5;65.8 ± 3.0;4.6 ± 0.8;315882 ± 60042;15671 ± 2965;1726295 ± 328139
