Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2088;3855.7 ± 68.6;2196.0 ± 42.8;5.3 ± 0.9;0.7 ± 0.4;1.7 ± 0.2;3.0 ± 0.9;0.0 ± 0.0;12767 ± 61;623 ± 1;72121 ± 424
2089;3810.7 ± 68.3;2178.7 ± 41.7;4.7 ± 0.5;0.7 ± 0.4;1.3 ± 0.2;2.7 ± 0.7;0.0 ± 0.0;12776 ± 60;623 ± 1;72191 ± 422
2090;3773.7 ± 67.2;2150.3 ± 39.7;4.7 ± 0.5;0.7 ± 0.4;1.3 ± 0.2;2.7 ± 0.7;0.0 ± 0.0;12791 ± 62;624 ± 1;72300 ± 425
2091;3736.7 ± 65.9;2117.3 ± 37.1;4.7 ± 0.5;0.7 ± 0.4;1.3 ± 0.2;2.7 ± 0.7;0.0 ± 0.0;12810 ± 59;624 ± 1;72424 ± 408
2092;3701.3 ± 64.6;2091.3 ± 32.2;5.0 ± 0.7;0.7 ± 0.4;1.7 ± 0.2;2.7 ± 0.7;0.0 ± 0.0;12822 ± 59;624 ± 1;72529 ± 406
2093;3653.0 ± 59.7;2064.3 ± 30.4;4.7 ± 0.5;0.7 ± 0.4;1.7 ± 0.2;2.3 ± 0.5;0.0 ± 0.0;12835 ± 56;624 ± 1;72586 ± 402
2094;3611.7 ± 60.8;2047.7 ± 33.2;5.0 ± 0.6;0.7 ± 0.4;1.7 ± 0.2;2.7 ± 0.4;0.0 ± 0.0;12845 ± 54;624 ± 1;72700 ± 385
2095;3573.3 ± 62.6;2028.0 ± 31.7;5.0 ± 0.7;0.7 ± 0.4;2.0 ± 0.4;2.3 ± 0.5;0.0 ± 0.0;12853 ± 52;624 ± 1;72764 ± 375
2096;3519.3 ± 62.5;1995.0 ± 31.0;4.7 ± 0.5;0.7 ± 0.4;2.0 ± 0.4;2.0 ± 0.4;0.0 ± 0.0;12861 ± 53;624 ± 1;72812 ± 374
2097;3475.3 ± 55.8;1968.3 ± 29.0;4.3 ± 0.4;0.7 ± 0.4;1.7 ± 0.2;2.0 ± 0.4;0.0 ± 0.0;12869 ± 53;624 ± 1;72865 ± 372
