,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
10,1960,58870.2,48649.96,222.4,26.28,139.04,51.52,2535.96,135.08,12095.56,58774.436264010496,48539.08147128249,216.3134714875117,24.63033656765994,134.9325956420143,48.94669590344761,2509.530874704347,129.76877369088206,12020.50990653952,58965.9637359895,48760.83852871751,228.48652851248832,27.929663432340064,143.1474043579857,54.093304096552394,2562.3891252956532,140.39122630911797,12170.610093460478
11,1961,59641.76,49160.32,224.16,27.24,139.48,51.8,2766.64,148.44,13220.24,59537.55757619505,49045.41786787658,218.60741997266135,25.4319774632673,135.754074883558,49.318193131338916,2739.149907056784,142.60363031557,13139.070732243294,59745.96242380495,49275.22213212342,229.71258002733865,29.048022536732695,143.205925116442,54.28180686866108,2794.130092943216,154.27636968443,13301.409267756706
12,1962,60410.6,49650.48,225.72,27.84,140.12,52.36,3001.84,160.92,14318.76,60296.22553273275,49530.37505950501,220.31011594948654,25.954321087777668,136.62240210430073,49.70161564855644,2971.165597148545,155.1968,14232.39593511867,60524.974467267246,49770.584940495,231.12988405051345,29.72567891222233,143.61759789569928,55.01838435144356,3032.514402851455,166.64319999999998,14405.124064881331
13,1963,61182.56,50136.48,229.16,28.04,142.28,53.24,3231.84,172.2,15399.44,61056.59861696366,50006.32148185396,223.38694318753053,26.06866477736535,138.49035127749286,50.444496677400174,3202.347876244213,166.1493431761502,15308.041346353315,61308.521383036335,50266.63851814604,234.93305681246946,30.01133522263465,146.06964872250714,56.03550332259983,3261.3321237557875,178.25065682384977,15490.838653646686
14,1964,61933.28,50597.44,232.12,28.12,144.04,54.2,3451.6,183.92,16450.16,61805.057269378216,50466.40890194909,226.0426091914375,26.10739396801063,140.0416,51.23614125392814,3420.401708593792,177.97295819419435,16359.695812679123,62061.50273062178,50728.47109805091,238.19739080856252,30.132606031989372,148.0384,57.16385874607187,3482.7982914062077,189.86704180580563,16540.62418732088
15,1965,62678.16,51048.68,236.0,28.32,146.76,54.96,3671.6,194.72,17486.2,62546.85630119087,50911.59089121364,230.29463784380576,26.45123824240042,142.6810646617857,51.93736055298243,3639.091561874902,188.73047602559268,17394.744627363943,62809.46369880914,51185.769108786364,241.70536215619424,30.18876175759958,150.83893533821427,57.98263944701757,3704.108438125098,200.70952397440732,17577.655372636058
16,1966,63389.24,51487.76,238.28,28.6,147.8,56.0,3885.12,205.52,18507.96,63259.03116101114,51349.968873700716,232.56956766610443,26.686279713925433,143.86370055339623,52.8234291025279,3853.342135308153,199.1486231231651,18415.229869420848,63519.44883898886,51625.55112629929,243.99043233389557,30.51372028607457,151.7362994466038,59.1765708974721,3916.8978646918467,211.89137687683493,18600.69013057915
17,1967,64124.72,51957.56,241.2,28.8,149.96,56.56,4101.72,216.92,19551.48,63990.182047832444,51813.170284870794,235.4711197138242,26.90646010516458,145.82153685208306,53.36117431547138,4067.9070137357457,210.20153473080842,19455.74467527271,64259.25795216756,52101.9497151292,246.92888028617577,30.69353989483542,154.09846314791696,59.758825684528624,4135.532986264255,223.63846526919156,19647.21532472729
18,1968,64847.76,52408.56,244.32,29.16,152.04,57.36,4313.64,228.12,20580.04,64709.83028745955,52258.68619856105,238.54689882529905,27.482777406941267,147.80821520395943,54.08247989683257,4278.940087079456,221.64080403342103,20481.330534044468,64985.68971254046,52558.43380143894,250.09310117470093,30.837222593058733,156.27178479604055,60.63752010316743,4348.3399129205445,234.59919596657898,20678.749465955534
19,1969,65568.56,52857.88,248.16,29.4,154.64,58.12,4524.8,239.56,21605.92,65429.46925768492,52708.27522643409,242.45611936543781,27.744602363982196,150.43949851882738,54.80279047390732,4488.415374528977,233.27058833488113,21505.661518731627,65707.65074231508,53007.484773565906,253.86388063456218,31.0553976360178,158.8405014811726,61.43720952609267,4561.1846254710235,245.84941166511888,21706.17848126837
