==============================================================================================================
 Медианный анализ по годам
 Сценарий: scenario_3 | Дата: 2026-05-23 03:01
==============================================================================================================

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
Динамика медианных показателей (Калибровка 1950-2125)
══════════════════════════════════════════════════════════════════════════════════════════════════════════════

🔹 Метрика: PREVALENCE TOTAL PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
2118   |        4.500 |       -0.50 |        2.500 |            [0.0 - 0.0] |      2
2119   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2120   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2121   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2122   |        4.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
2123   |        4.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2124   |        4.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2125   |        4.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2

🔹 Метрика: M694V HOMO IN AFFECTED PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
--------------------------------------------------------------------------------------------------------------
1950   |        6.07% |            - |        1.07% |            [0.0 - 0.0] |      2
1951   |        5.00% |       -1.07% |        5.00% |            [0.0 - 0.0] |      2
1952   |        5.26% |       +0.26% |        5.26% |            [0.0 - 0.0] |      2
1953   |        5.00% |       -0.26% |        5.00% |            [0.0 - 0.0] |      2
1954   |        8.33% |       +3.33% |        1.67% |            [0.0 - 0.0] |      2
1955   |        8.33% |       +0.00% |        1.67% |            [0.0 - 0.0] |      2
1956   |        8.10% |       -0.24% |        1.43% |            [0.0 - 0.0] |      2
1957   |        9.76% |       +1.66% |        3.88% |            [0.0 - 0.0] |      2
1958   |        9.03% |       -0.73% |        3.47% |            [0.0 - 0.0] |      2
1959   |        9.30% |       +0.27% |        3.74% |            [0.0 - 0.0] |      2
1960   |        8.88% |       -0.42% |        3.62% |            [0.0 - 0.0] |      2
1961   |       11.01% |       +2.13% |        1.49% |            [0.0 - 0.0] |      2
1962   |        9.02% |       -1.99% |        4.02% |            [0.0 - 0.0] |      2
1963   |        8.75% |       -0.27% |        3.75% |            [0.0 - 0.0] |      2
1964   |        9.15% |       +0.40% |        3.89% |            [0.0 - 0.0] |      2
1965   |        6.85% |       -2.31% |        1.85% |            [0.0 - 0.0] |      2
1966   |        6.98% |       +0.13% |        1.72% |            [0.0 - 0.0] |      2
1967   |        6.80% |       -0.18% |        1.54% |            [0.0 - 0.0] |      2
1968   |        6.85% |       +0.05% |        1.85% |            [0.0 - 0.0] |      2
1969   |        4.67% |       -2.17% |        0.33% |            [0.0 - 0.0] |      2
1970   |        4.58% |       -0.09% |        0.42% |            [0.0 - 0.0] |      2
1971   |        4.45% |       -0.14% |        0.10% |            [0.0 - 0.0] |      2
1972   |        4.45% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
1973   |        6.02% |       +1.57% |        1.67% |            [0.0 - 0.0] |      2
1974   |        6.17% |       +0.15% |        1.83% |            [0.0 - 0.0] |      2
1975   |        5.84% |       -0.33% |        1.30% |            [0.0 - 0.0] |      2
1976   |        5.51% |       -0.34% |        1.16% |            [0.0 - 0.0] |      2
1977   |        5.50% |       -0.01% |        0.95% |            [0.0 - 0.0] |      2
1978   |        5.40% |       -0.10% |        1.05% |            [0.0 - 0.0] |      2
1979   |        5.12% |       -0.27% |        1.12% |            [0.0 - 0.0] |      2
1980   |        5.03% |       -0.09% |        1.03% |            [0.0 - 0.0] |      2
1981   |        4.88% |       -0.15% |        1.18% |            [0.0 - 0.0] |      2
1982   |        4.86% |       -0.02% |        1.02% |            [0.0 - 0.0] |      2
1983   |        4.70% |       -0.16% |        0.85% |            [0.0 - 0.0] |      2
1984   |        4.70% |       +0.00% |        0.85% |            [0.0 - 0.0] |      2
1985   |        4.48% |       -0.22% |        0.78% |            [0.0 - 0.0] |      2
1986   |        5.73% |       +1.25% |        2.16% |            [0.0 - 0.0] |      2
1987   |        5.42% |       -0.32% |        2.08% |            [0.0 - 0.0] |      2
1988   |        5.33% |       -0.09% |        1.99% |            [0.0 - 0.0] |      2
1989   |        5.38% |       +0.06% |        1.93% |            [0.0 - 0.0] |      2
1990   |        5.16% |       -0.23% |        1.82% |            [0.0 - 0.0] |      2
1991   |        5.19% |       +0.04% |        1.62% |            [0.0 - 0.0] |      2
1992   |        5.34% |       +0.15% |        1.64% |            [0.0 - 0.0] |      2
1993   |        5.44% |       +0.10% |        1.87% |            [0.0 - 0.0] |      2
1994   |        5.54% |       +0.09% |        1.96% |            [0.0 - 0.0] |      2
1995   |        6.79% |       +1.25% |        3.21% |            [0.0 - 0.0] |      2
1996   |        6.85% |       +0.07% |        3.40% |            [0.0 - 0.0] |      2
1997   |        6.72% |       -0.13% |        3.28% |            [0.0 - 0.0] |      2
1998   |        4.88% |       -1.85% |        4.88% |            [0.0 - 0.0] |      2
1999   |        4.76% |       -0.12% |        4.76% |            [0.0 - 0.0] |      2
2000   |        4.76% |       +0.00% |        4.76% |            [0.0 - 0.0] |      2
2001   |        5.68% |       +0.92% |        5.68% |            [0.0 - 0.0] |      2
2002   |        4.76% |       -0.92% |        4.76% |            [0.0 - 0.0] |      2
2003   |        6.60% |       +1.84% |        3.15% |            [0.0 - 0.0] |      2
2004   |        8.21% |       +1.61% |        1.54% |            [0.0 - 0.0] |      2
2005   |        8.98% |       +0.77% |        1.83% |            [0.0 - 0.0] |      2
2006   |        8.97% |       -0.01% |        1.56% |            [0.0 - 0.0] |      2
2007   |        9.11% |       +0.14% |        1.70% |            [0.0 - 0.0] |      2
2008   |        9.26% |       +0.15% |        1.26% |            [0.0 - 0.0] |      2
2009   |        9.43% |       +0.17% |        1.10% |            [0.0 - 0.0] |      2
2010   |        9.13% |       -0.30% |        1.13% |            [0.0 - 0.0] |      2
2011   |       10.42% |       +1.29% |        2.08% |            [0.0 - 0.0] |      2
2012   |       10.58% |       +0.16% |        2.58% |            [0.0 - 0.0] |      2
2013   |       12.24% |       +1.66% |        3.55% |            [0.0 - 0.0] |      2
2014   |       12.04% |       -0.20% |        3.34% |            [0.0 - 0.0] |      2
2015   |       12.24% |       +0.20% |        3.55% |            [0.0 - 0.0] |      2
2016   |       12.50% |       +0.26% |        4.17% |            [0.0 - 0.0] |      2
2017   |       13.17% |       +0.67% |        4.48% |            [0.0 - 0.0] |      2
2018   |       11.70% |       -1.47% |        3.01% |            [0.0 - 0.0] |      2
2019   |       12.23% |       +0.53% |        3.90% |            [0.0 - 0.0] |      2
2020   |       11.92% |       -0.31% |        3.23% |            [0.0 - 0.0] |      2
2021   |       11.88% |       -0.04% |        0.12% |            [0.0 - 0.0] |      2
2022   |       12.31% |       +0.43% |        0.19% |            [0.0 - 0.0] |      2
2023   |       12.31% |       +0.00% |        0.19% |            [0.0 - 0.0] |      2
2024   |       12.88% |       +0.57% |        0.76% |            [0.0 - 0.0] |      2
2025   |       13.39% |       +0.51% |        0.89% |            [0.0 - 0.0] |      2
2026   |       13.71% |       +0.32% |        0.08% |            [0.0 - 0.0] |      2
2027   |       13.71% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2028   |       15.23% |       +1.52% |        1.44% |            [0.0 - 0.0] |      2
2029   |       15.59% |       +0.36% |        1.80% |            [0.0 - 0.0] |      2
2030   |       16.67% |       +1.07% |        2.38% |            [0.0 - 0.0] |      2
2031   |       18.22% |       +1.55% |        2.83% |            [0.0 - 0.0] |      2
2032   |       18.22% |       +0.00% |        2.83% |            [0.0 - 0.0] |      2
2033   |       18.22% |       +0.00% |        2.83% |            [0.0 - 0.0] |      2
2034   |       16.11% |       -2.11% |        6.11% |            [0.0 - 0.0] |      2
2035   |       15.00% |       -1.11% |       10.00% |            [0.0 - 0.0] |      2
2036   |       15.13% |       +0.13% |        9.87% |            [0.0 - 0.0] |      2
2037   |       15.83% |       +0.70% |       10.83% |            [0.0 - 0.0] |      2
2038   |       15.83% |       +0.00% |       10.83% |            [0.0 - 0.0] |      2
2039   |       16.79% |       +0.95% |       11.79% |            [0.0 - 0.0] |      2
2040   |       15.96% |       -0.82% |       10.70% |            [0.0 - 0.0] |      2
2041   |       16.92% |       +0.95% |       11.65% |            [0.0 - 0.0] |      2
2042   |       14.29% |       -2.63% |       14.29% |            [0.0 - 0.0] |      2
2043   |       15.38% |       +1.10% |       15.38% |            [0.0 - 0.0] |      2
2044   |       15.38% |       +0.00% |       15.38% |            [0.0 - 0.0] |      2
2045   |       12.50% |       -2.88% |       12.50% |            [0.0 - 0.0] |      2
2046   |        9.09% |       -3.41% |        9.09% |            [0.0 - 0.0] |      2
2047   |        9.09% |       +0.00% |        9.09% |            [0.0 - 0.0] |      2
2048   |        8.33% |       -0.76% |        8.33% |            [0.0 - 0.0] |      2
2049   |        4.55% |       -3.79% |        4.55% |            [0.0 - 0.0] |      2
2050   |        4.17% |       -0.38% |        4.17% |            [0.0 - 0.0] |      2
2051   |        0.00% |       -4.17% |        0.00% |            [0.0 - 0.0] |      2
2052   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2053   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2054   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2055   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2056   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2057   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2058   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2059   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2060   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2061   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2062   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2063   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2064   |        7.14% |            - |        7.14% |            [0.0 - 0.0] |      2
2065   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2066   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2067   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2068   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2069   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2070   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2071   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2072   |        8.33% |       +1.19% |        8.33% |            [0.0 - 0.0] |      2
2073   |       12.50% |       +4.17% |       12.50% |            [0.0 - 0.0] |      2
2074   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2075   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2076   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2077   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2078   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2079   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2080   |       10.00% |       -2.50% |       10.00% |            [0.0 - 0.0] |      2
2081   |       10.00% |       +0.00% |       10.00% |            [0.0 - 0.0] |      2
2082   |       10.00% |       +0.00% |       10.00% |            [0.0 - 0.0] |      2
2083   |       10.00% |       +0.00% |       10.00% |            [0.0 - 0.0] |      2
2084   |       10.00% |       +0.00% |       10.00% |            [0.0 - 0.0] |      2
2085   |        8.33% |       -1.67% |        8.33% |            [0.0 - 0.0] |      2
2086   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2087   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2088   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2089   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2090   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2091   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2092   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2093   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2094   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2095   |       10.00% |       +1.67% |       10.00% |            [0.0 - 0.0] |      2
2096   |       12.50% |       +2.50% |       12.50% |            [0.0 - 0.0] |      2
2097   |       20.00% |       +7.50% |       20.00% |            [0.0 - 0.0] |      2
2098   |       20.00% |       +0.00% |       20.00% |            [0.0 - 0.0] |      2
2099   |       16.67% |       -3.33% |       16.67% |            [0.0 - 0.0] |      2
2100   |       14.29% |       -2.38% |       14.29% |            [0.0 - 0.0] |      2
2101   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2102   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2103   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2104   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2105   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2106   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2107   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2108   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2109   |       14.29% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
2110   |       12.50% |       -1.79% |       12.50% |            [0.0 - 0.0] |      2
2111   |       12.50% |       +0.00% |       12.50% |            [0.0 - 0.0] |      2
2112   |        6.25% |       -6.25% |        6.25% |            [0.0 - 0.0] |      2
2113   |        6.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2114   |        6.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2115   |        6.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2116   |        6.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2117   |        6.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2118   |        7.14% |       +0.89% |        7.14% |            [0.0 - 0.0] |      2
2119   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2120   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2121   |        7.14% |       +0.00% |        7.14% |            [0.0 - 0.0] |      2
2122   |        8.33% |       +1.19% |        8.33% |            [0.0 - 0.0] |      2
2123   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2124   |        8.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2125   |        0.00% |       -8.33% |        0.00% |            [0.0 - 0.0] |      2

🔹 Метрика: COMPOUND IN AFFECTED PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
--------------------------------------------------------------------------------------------------------------
1950   |       55.71% |            - |       15.71% |            [0.0 - 0.0] |      2
1951   |       53.21% |       -2.50% |       18.21% |            [0.0 - 0.0] |      2
1952   |       53.04% |       -0.18% |       16.19% |            [0.0 - 0.0] |      2
1953   |       52.14% |       -0.89% |       12.14% |            [0.0 - 0.0] |      2
1954   |       50.00% |       -2.14% |       10.00% |            [0.0 - 0.0] |      2
1955   |       46.67% |       -3.33% |        6.67% |            [0.0 - 0.0] |      2
1956   |       48.10% |       +1.43% |        5.24% |            [0.0 - 0.0] |      2
1957   |       43.98% |       -4.11% |        3.07% |            [0.0 - 0.0] |      2
1958   |       47.92% |       +3.93% |        2.08% |            [0.0 - 0.0] |      2
1959   |       48.91% |       +1.00% |        1.09% |            [0.0 - 0.0] |      2
1960   |       49.23% |       +0.32% |        3.40% |            [0.0 - 0.0] |      2
1961   |       49.11% |       -0.13% |        3.27% |            [0.0 - 0.0] |      2
1962   |       49.24% |       +0.13% |        5.76% |            [0.0 - 0.0] |      2
1963   |       47.92% |       -1.32% |        2.08% |            [0.0 - 0.0] |      2
1964   |       47.60% |       -0.32% |        0.23% |            [0.0 - 0.0] |      2
1965   |       51.09% |       +3.49% |        1.09% |            [0.0 - 0.0] |      2
1966   |       49.77% |       -1.32% |        2.40% |            [0.0 - 0.0] |      2
1967   |       53.40% |       +3.63% |        0.77% |            [0.0 - 0.0] |      2
1968   |       57.93% |       +4.54% |        2.93% |            [0.0 - 0.0] |      2
1969   |       60.11% |       +2.17% |        5.11% |            [0.0 - 0.0] |      2
1970   |       58.33% |       -1.78% |        8.33% |            [0.0 - 0.0] |      2
1971   |       57.71% |       -0.63% |        3.16% |            [0.0 - 0.0] |      2
1972   |       57.71% |       +0.00% |        3.16% |            [0.0 - 0.0] |      2
1973   |       55.69% |       -2.02% |        9.53% |            [0.0 - 0.0] |      2
1974   |       54.61% |       -1.08% |       10.61% |            [0.0 - 0.0] |      2
1975   |       55.03% |       +0.42% |        8.60% |            [0.0 - 0.0] |      2
1976   |       55.43% |       +0.40% |        5.43% |            [0.0 - 0.0] |      2
1977   |       56.01% |       +0.58% |        7.62% |            [0.0 - 0.0] |      2
1978   |       56.80% |       +0.79% |        8.42% |            [0.0 - 0.0] |      2
1979   |       57.00% |       +0.20% |        7.00% |            [0.0 - 0.0] |      2
1980   |       57.76% |       +0.76% |        6.24% |            [0.0 - 0.0] |      2
1981   |       58.75% |       +1.00% |        4.21% |            [0.0 - 0.0] |      2
1982   |       62.56% |       +3.80% |        6.67% |            [0.0 - 0.0] |      2
1983   |       63.78% |       +1.23% |        5.45% |            [0.0 - 0.0] |      2
1984   |       65.17% |       +1.39% |        4.06% |            [0.0 - 0.0] |      2
1985   |       63.60% |       -1.57% |        3.07% |            [0.0 - 0.0] |      2
1986   |       64.19% |       +0.60% |        3.67% |            [0.0 - 0.0] |      2
1987   |       64.58% |       +0.39% |        2.08% |            [0.0 - 0.0] |      2
1988   |       63.82% |       -0.76% |        2.85% |            [0.0 - 0.0] |      2
1989   |       63.25% |       -0.57% |        2.27% |            [0.0 - 0.0] |      2
1990   |       63.57% |       +0.32% |        3.10% |            [0.0 - 0.0] |      2
1991   |       65.26% |       +1.69% |        6.17% |            [0.0 - 0.0] |      2
1992   |       66.11% |       +0.85% |        7.97% |            [0.0 - 0.0] |      2
1993   |       66.77% |       +0.66% |        8.23% |            [0.0 - 0.0] |      2
1994   |       67.50% |       +0.73% |        7.50% |            [0.0 - 0.0] |      2
1995   |       67.50% |       +0.00% |        7.50% |            [0.0 - 0.0] |      2
1996   |       67.42% |       -0.08% |        8.44% |            [0.0 - 0.0] |      2
1997   |       67.93% |       +0.51% |        7.93% |            [0.0 - 0.0] |      2
1998   |       69.77% |       +1.84% |        8.80% |            [0.0 - 0.0] |      2
1999   |       69.41% |       -0.36% |        7.51% |            [0.0 - 0.0] |      2
2000   |       70.14% |       +0.73% |        5.86% |            [0.0 - 0.0] |      2
2001   |       70.28% |       +0.14% |        6.64% |            [0.0 - 0.0] |      2
2002   |       71.79% |       +1.52% |        5.13% |            [0.0 - 0.0] |      2
2003   |       70.35% |       -1.44% |        2.06% |            [0.0 - 0.0] |      2
2004   |       67.93% |       -2.43% |        2.07% |            [0.0 - 0.0] |      2
2005   |       67.28% |       -0.65% |        2.99% |            [0.0 - 0.0] |      2
2006   |       67.01% |       -0.27% |        4.04% |            [0.0 - 0.0] |      2
2007   |       66.62% |       -0.39% |        3.65% |            [0.0 - 0.0] |      2
2008   |       67.53% |       +0.91% |        3.53% |            [0.0 - 0.0] |      2
2009   |       68.86% |       +1.33% |        2.19% |            [0.0 - 0.0] |      2
2010   |       69.90% |       +1.04% |        1.90% |            [0.0 - 0.0] |      2
2011   |       70.42% |       +0.52% |        0.42% |            [0.0 - 0.0] |      2
2012   |       70.21% |       -0.21% |        1.79% |            [0.0 - 0.0] |      2
2013   |       69.85% |       -0.36% |        4.06% |            [0.0 - 0.0] |      2
2014   |       70.29% |       +0.44% |        3.62% |            [0.0 - 0.0] |      2
2015   |       69.85% |       -0.44% |        4.06% |            [0.0 - 0.0] |      2
2016   |       68.75% |       -1.10% |        2.08% |            [0.0 - 0.0] |      2
2017   |       67.14% |       -1.61% |        2.43% |            [0.0 - 0.0] |      2
2018   |       68.61% |       +1.47% |        0.96% |            [0.0 - 0.0] |      2
2019   |       71.37% |       +2.76% |        3.63% |            [0.0 - 0.0] |      2
2020   |       71.81% |       +0.43% |        2.11% |            [0.0 - 0.0] |      2
2021   |       67.82% |       -3.98% |        0.18% |            [0.0 - 0.0] |      2
2022   |       68.18% |       +0.36% |        1.52% |            [0.0 - 0.0] |      2
2023   |       68.18% |       +0.00% |        1.52% |            [0.0 - 0.0] |      2
2024   |       65.15% |       -3.03% |        1.52% |            [0.0 - 0.0] |      2
2025   |       67.71% |       +2.56% |        1.04% |            [0.0 - 0.0] |      2
2026   |       66.85% |       -0.86% |        1.33% |            [0.0 - 0.0] |      2
2027   |       64.58% |       -2.27% |        0.94% |            [0.0 - 0.0] |      2
2028   |       64.01% |       -0.57% |        1.51% |            [0.0 - 0.0] |      2
2029   |       63.19% |       -0.82% |        2.32% |            [0.0 - 0.0] |      2
2030   |       63.10% |       -0.10% |        1.19% |            [0.0 - 0.0] |      2
2031   |       61.64% |       -1.46% |        3.74% |            [0.0 - 0.0] |      2
2032   |       61.64% |       +0.00% |        3.74% |            [0.0 - 0.0] |      2
2033   |       61.64% |       +0.00% |        3.74% |            [0.0 - 0.0] |      2
2034   |       62.50% |       +0.86% |       12.50% |            [0.0 - 0.0] |      2
2035   |       61.88% |       -0.62% |       18.12% |            [0.0 - 0.0] |      2
2036   |       61.35% |       -0.53% |       17.60% |            [0.0 - 0.0] |      2
2037   |       63.33% |       +1.98% |       16.67% |            [0.0 - 0.0] |      2
2038   |       60.83% |       -2.50% |       14.17% |            [0.0 - 0.0] |      2
2039   |       58.93% |       -1.90% |       16.07% |            [0.0 - 0.0] |      2
2040   |       60.18% |       +1.25% |       13.51% |            [0.0 - 0.0] |      2
2041   |       55.64% |       -4.54% |       12.78% |            [0.0 - 0.0] |      2
2042   |       57.54% |       +1.90% |       14.68% |            [0.0 - 0.0] |      2
2043   |       58.37% |       +0.83% |       12.22% |            [0.0 - 0.0] |      2
2044   |       61.31% |       +2.94% |       15.16% |            [0.0 - 0.0] |      2
2045   |       61.67% |       +0.35% |       11.67% |            [0.0 - 0.0] |      2
2046   |       62.99% |       +1.32% |        8.44% |            [0.0 - 0.0] |      2
2047   |       62.99% |       +0.00% |        8.44% |            [0.0 - 0.0] |      2
2048   |       63.78% |       +0.80% |        5.45% |            [0.0 - 0.0] |      2
2049   |       65.15% |       +1.37% |        1.52% |            [0.0 - 0.0] |      2
2050   |       69.70% |       +4.55% |        3.03% |            [0.0 - 0.0] |      2
2051   |       71.36% |       +1.67% |        1.36% |            [0.0 - 0.0] |      2
2052   |       69.70% |       -1.67% |        3.03% |            [0.0 - 0.0] |      2
2053   |       63.57% |       -6.13% |        6.43% |            [0.0 - 0.0] |      2
2054   |       60.00% |       -3.57% |       10.00% |            [0.0 - 0.0] |      2
2055   |       58.33% |       -1.67% |        8.33% |            [0.0 - 0.0] |      2
2056   |       58.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2057   |       56.25% |       -2.08% |        6.25% |            [0.0 - 0.0] |      2
2058   |       56.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2059   |       56.25% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2060   |       52.68% |       -3.57% |        9.82% |            [0.0 - 0.0] |      2
2061   |       54.46% |       +1.79% |       16.96% |            [0.0 - 0.0] |      2
2062   |       52.08% |       -2.38% |       14.58% |            [0.0 - 0.0] |      2
2063   |       47.62% |       -4.46% |       19.05% |            [0.0 - 0.0] |      2
2064   |       42.86% |       -4.76% |       14.29% |            [0.0 - 0.0] |      2
2065   |       38.57% |       -4.29% |       18.57% |            [0.0 - 0.0] |      2
2066   |       28.57% |      -10.00% |       28.57% |            [0.0 - 0.0] |      2
2067   |       28.57% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2068   |       28.57% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2069   |       21.43% |       -7.14% |       21.43% |            [0.0 - 0.0] |      2
2070   |       21.43% |       +0.00% |       21.43% |            [0.0 - 0.0] |      2
2071   |       21.43% |       +0.00% |       21.43% |            [0.0 - 0.0] |      2
2072   |       16.67% |       -4.76% |       16.67% |            [0.0 - 0.0] |      2
2073   |       25.00% |       +8.33% |       25.00% |            [0.0 - 0.0] |      2
2074   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2075   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2076   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2077   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2078   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2079   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2080   |       20.00% |       -5.00% |       20.00% |            [0.0 - 0.0] |      2
2081   |       20.00% |       +0.00% |       20.00% |            [0.0 - 0.0] |      2
2082   |       20.00% |       +0.00% |       20.00% |            [0.0 - 0.0] |      2
2083   |       20.00% |       +0.00% |       20.00% |            [0.0 - 0.0] |      2
2084   |       20.00% |       +0.00% |       20.00% |            [0.0 - 0.0] |      2
2085   |       25.00% |       +5.00% |       25.00% |            [0.0 - 0.0] |      2
2086   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2087   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2088   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2089   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2090   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2091   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2092   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2093   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2094   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2095   |       20.00% |       -5.00% |       20.00% |            [0.0 - 0.0] |      2
2096   |       37.50% |      +17.50% |       12.50% |            [0.0 - 0.0] |      2
2097   |       35.00% |       -2.50% |       15.00% |            [0.0 - 0.0] |      2
2098   |       60.00% |      +25.00% |       40.00% |            [0.0 - 0.0] |      2
2099   |       66.67% |       +6.67% |       33.33% |            [0.0 - 0.0] |      2
2100   |       71.43% |       +4.76% |       28.57% |            [0.0 - 0.0] |      2
2101   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2102   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2103   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2104   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2105   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2106   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2107   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2108   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2109   |       71.43% |       +0.00% |       28.57% |            [0.0 - 0.0] |      2
2110   |       68.75% |       -2.68% |       31.25% |            [0.0 - 0.0] |      2
2111   |       68.75% |       +0.00% |       31.25% |            [0.0 - 0.0] |      2
2112   |       68.75% |       +0.00% |       31.25% |            [0.0 - 0.0] |      2
2113   |       68.75% |       +0.00% |       31.25% |            [0.0 - 0.0] |      2
