Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2051;5983.0 ± 45.3;3391.3 ± 11.4;14.3 ± 2.5;1.3 ± 0.4;9.3 ± 1.6;3.7 ± 0.9;0.0 ± 0.0;4445 ± 3;228 ± 0;25630 ± 17
2052;5927.0 ± 38.2;3381.0 ± 7.1;14.3 ± 2.9;1.0 ± 0.4;9.7 ± 1.8;3.7 ± 0.9;0.0 ± 0.0;4472 ± 10;230 ± 0;25738 ± 33
2053;5861.3 ± 35.6;3367.7 ± 6.8;14.7 ± 2.9;1.0 ± 0.4;10.0 ± 1.8;3.7 ± 0.9;0.0 ± 0.0;4506 ± 3;231 ± 0;25857 ± 17
2054;5801.0 ± 31.6;3347.3 ± 6.8;14.7 ± 2.9;1.0 ± 0.4;10.0 ± 1.8;3.7 ± 0.9;0.0 ± 0.0;4527 ± 6;231 ± 0;25980 ± 42
2055;5742.0 ± 27.9;3320.7 ± 4.7;14.7 ± 2.9;1.0 ± 0.4;10.0 ± 1.8;3.7 ± 0.9;0.0 ± 0.0;4553 ± 5;231 ± 0;26156 ± 30
2056;5684.0 ± 29.2;3304.3 ± 7.1;14.3 ± 2.3;1.0 ± 0.4;9.7 ± 1.6;3.7 ± 0.5;0.0 ± 0.0;4576 ± 5;233 ± 1;26297 ± 30
2057;5607.3 ± 29.0;3271.0 ± 9.5;13.3 ± 2.2;1.0 ± 0.4;9.0 ± 1.4;3.3 ± 0.5;0.0 ± 0.0;4592 ± 6;234 ± 0;26392 ± 39
2058;5549.0 ± 25.8;3240.7 ± 8.3;12.3 ± 2.0;0.7 ± 0.2;8.3 ± 1.4;3.3 ± 0.5;0.0 ± 0.0;4612 ± 7;236 ± 0;26509 ± 42
2059;5480.0 ± 27.3;3207.0 ± 11.8;12.3 ± 2.2;1.0 ± 0.4;8.3 ± 1.4;3.0 ± 0.6;0.0 ± 0.0;4633 ± 9;237 ± 1;26635 ± 50
2060;5420.0 ± 31.1;3163.7 ± 14.7;12.3 ± 2.0;1.0 ± 0.4;8.3 ± 1.4;3.0 ± 0.6;0.0 ± 0.0;4653 ± 8;238 ± 0;26739 ± 43
